Year,Month,Date,Item A,Item B
2010,1,1/1/2010,2175,1755
2010,2,2/1/2010,3138,2193
2010,3,3/1/2010,2823,2198
2010,4,4/1/2010,2498,2777
2010,5,5/1/2010,2822,3076
2010,6,6/1/2010,2738,3389
2010,7,7/1/2010,4137,4231
2010,8,8/1/2010,3515,3118
2010,9,9/1/2010,3785,2524
2010,10,10/1/2010,3632,2280
2010,11,11/1/2010,4504,2862
2010,12,12/1/2010,4451,3502
2011,1,1/1/2011,2550,1558
2011,2,2/1/2011,2867,1940
2011,3,3/1/2011,3458,2226
2011,4,4/1/2011,2961,2676
2011,5,5/1/2011,3163,3145
2011,6,6/1/2011,2880,3224
2011,7,7/1/2011,3331,4117
2011,8,8/1/2011,3062,3446
2011,9,9/1/2011,3534,2482
2011,10,10/1/2011,3622,2349
2011,11,11/1/2011,4464,2986
2011,12,12/1/2011,5411,3163
2012,1,1/1/2012,2564,1651
2012,2,2/1/2012,2820,1725
2012,3,3/1/2012,3508,2622
2012,4,4/1/2012,3088,2316
2012,5,5/1/2012,3299,2976
2012,6,6/1/2012,2939,3263
2012,7,7/1/2012,3320,3951
2012,8,8/1/2012,3418,2917
2012,9,9/1/2012,3604,2380
2012,10,10/1/2012,3495,2458
2012,11,11/1/2012,4163,2883
2012,12,12/1/2012,4882,2579
2013,1,1/1/2013,2211,1330
2013,2,2/1/2013,3260,1686
2013,3,3/1/2013,2992,2457
2013,4,4/1/2013,2425,2514
2013,5,5/1/2013,2707,2834
2013,6,6/1/2013,3244,2757
2013,7,7/1/2013,3965,3425
2013,8,8/1/2013,3315,3006
2013,9,9/1/2013,3333,2369
2013,10,10/1/2013,3583,2017
2013,11,11/1/2013,4021,2507
2013,12,12/1/2013,4904,3168
2014,1,1/1/2014,2252,1545
2014,2,2/1/2014,2952,1643
2014,3,3/1/2014,3573,2112
2014,4,4/1/2014,3048,2415
2014,5,5/1/2014,3059,2862
2014,6,6/1/2014,2731,2822
2014,7,7/1/2014,3563,3260
2014,8,8/1/2014,3092,2606
2014,9,9/1/2014,3478,2264
2014,10,10/1/2014,3478,2250
2014,11,11/1/2014,4308,2545
2014,12,12/1/2014,5029,2856
2015,1,1/1/2015,2075,1208
2015,2,2/1/2015,3264,1412
2015,3,3/1/2015,3308,1964
2015,4,4/1/2015,3688,2018
2015,5,5/1/2015,3136,2329
2015,6,6/1/2015,2824,2660
2015,7,7/1/2015,3644,2923
2015,8,8/1/2015,4694,2626
2015,9,9/1/2015,2914,2132
2015,10,10/1/2015,3686,1772
2015,11,11/1/2015,4358,2526
2015,12,12/1/2015,5587,2755
2016,1,1/1/2016,2265,1154
2016,2,2/1/2016,3685,1568
2016,3,3/1/2016,3754,1965
2016,4,4/1/2016,3708,2659
2016,5,5/1/2016,3210,2354
2016,6,6/1/2016,3517,2592
2016,7,7/1/2016,3905,2714
2016,8,8/1/2016,3670,2294
2016,9,9/1/2016,4221,2416
2016,10,10/1/2016,4404,2016
2016,11,11/1/2016,5086,2799
2016,12,12/1/2016,5725,2467
2017,1,1/1/2017,2367,1153
2017,2,2/1/2017,3819,1482
2017,3,3/1/2017,4067,1818
2017,4,4/1/2017,4022,2262
2017,5,5/1/2017,3937,2612
2017,6,6/1/2017,4365,2967
2017,7,7/1/2017,4290,3179
